Log file open, 03/09/15 21:21:45
LogInit:Display: Running engine for game: Besieged
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
[2015.03.10-02.22.05:915][  0]LogPackFactory: Content/StarterContent/Materials/M_Tech_Panel.uasset (98003) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Tech_Panel.uasset
[2015.03.10-02.22.05:916][  0]LogPackFactory: Content/StarterContent/Materials/M_Water_Lake.uasset (96267) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Water_Lake.uasset
[2015.03.10-02.22.05:916][  0]LogPackFactory: Content/StarterContent/Materials/M_Water_Ocean.uasset (100717) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Water_Ocean.uasset
[2015.03.10-02.22.05:917][  0]LogPackFactory: Content/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.uasset (82816) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.uasset
[2015.03.10-02.22.05:918][  0]LogPackFactory: Content/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.uasset (100628) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.uasset
[2015.03.10-02.22.05:918][  0]LogPackFactory: Content/StarterContent/Materials/M_Wood_Oak.uasset (107121) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Wood_Oak.uasset
[2015.03.10-02.22.05:919][  0]LogPackFactory: Content/StarterContent/Materials/M_Wood_Pine.uasset (97740) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Wood_Pine.uasset
[2015.03.10-02.22.05:920][  0]LogPackFactory: Content/StarterContent/Materials/M_Wood_Walnut.uasset (93022) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Wood_Walnut.uasset
[2015.03.10-02.22.05:920][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_Burst.uasset (43524) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_Burst.uasset
[2015.03.10-02.22.05:937][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_Dust_Particle.uasset (40952) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_Dust_Particle.uasset
[2015.03.10-02.22.05:937][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_explosion_subUV.uasset (62151) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_explosion_subUV.uasset
[2015.03.10-02.22.05:938][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_Fire_SubUV.uasset (62224) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_Fire_SubUV.uasset
[2015.03.10-02.22.05:939][  0]LogPackFactory: Content/StarterContent/Particles/Materials/m_flare_01.uasset (48172) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/m_flare_01.uasset
[2015.03.10-02.22.05:940][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_Heat_Distortion.uasset (38287) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_Heat_Distortion.uasset
[2015.03.10-02.22.05:940][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_Radial_Gradient.uasset (41181) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_Radial_Gradient.uasset
[2015.03.10-02.22.05:941][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_radial_ramp.uasset (41193) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_radial_ramp.uasset
[2015.03.10-02.22.05:942][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_smoke_subUV.uasset (76603) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_smoke_subUV.uasset
[2015.03.10-02.22.05:942][  0]LogPackFactory: Content/StarterContent/Particles/Materials/M_Spark.uasset (43678) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/Materials/M_Spark.uasset
[2015.03.10-02.22.05:943][  0]LogPackFactory: Content/StarterContent/Particles/P_Ambient_Dust.uasset (43456) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/P_Ambient_Dust.uasset
[2015.03.10-02.22.05:944][  0]LogPackFactory: Content/StarterContent/Particles/P_Explosion.uasset (280221) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/P_Explosion.uasset
[2015.03.10-02.22.05:945][  0]LogPackFactory: Content/StarterContent/Particles/P_Fire.uasset (259431) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/P_Fire.uasset
[2015.03.10-02.22.05:945][  0]LogPackFactory: Content/StarterContent/Particles/P_Smoke.uasset (65670) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/P_Smoke.uasset
[2015.03.10-02.22.05:946][  0]LogPackFactory: Content/StarterContent/Particles/P_Sparks.uasset (171805) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/P_Sparks.uasset
[2015.03.10-02.22.05:947][  0]LogPackFactory: Content/StarterContent/Particles/P_Steam_Lit.uasset (117332) -> ../../../../../Projects/Besieged/Content/StarterContent/Particles/P_Steam_Lit.uasset
[2015.03.10-02.22.05:947][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Bush.uasset (99988) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Bush.uasset
[2015.03.10-02.22.05:948][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Chair.uasset (90187) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Chair.uasset
[2015.03.10-02.22.05:949][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Door.uasset (87249) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Door.uasset
[2015.03.10-02.22.05:950][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Frame.uasset (78682) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Frame.uasset
[2015.03.10-02.22.05:950][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Lamp.uasset (90486) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Lamp.uasset
[2015.03.10-02.22.05:951][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_MaterialSphere.uasset (66766) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_MaterialSphere.uasset
[2015.03.10-02.22.05:952][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_MaterialSphere_Plain.uasset (58832) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_MaterialSphere_Plain.uasset
[2015.03.10-02.22.05:952][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Rock.uasset (114715) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Rock.uasset
[2015.03.10-02.22.05:953][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Shelf.uasset (78255) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Shelf.uasset
[2015.03.10-02.22.05:954][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_Statue.uasset (72790) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_Statue.uasset
[2015.03.10-02.22.05:955][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_StatueGlass.uasset (56436) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_StatueGlass.uasset
[2015.03.10-02.22.05:955][  0]LogPackFactory: Content/StarterContent/Props/Materials/M_TableRound.uasset (89531) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/Materials/M_TableRound.uasset
[2015.03.10-02.22.05:956][  0]LogPackFactory: Content/StarterContent/Props/MaterialSphere.uasset (174533) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/MaterialSphere.uasset
[2015.03.10-02.22.05:957][  0]LogPackFactory: Content/StarterContent/Props/SM_Bush.uasset (152902) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Bush.uasset
[2015.03.10-02.22.05:957][  0]LogPackFactory: Content/StarterContent/Props/SM_Chair.uasset (213058) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Chair.uasset
[2015.03.10-02.22.05:959][  0]LogPackFactory: Content/StarterContent/Props/SM_CornerFrame.uasset (104587) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_CornerFrame.uasset
[2015.03.10-02.22.05:960][  0]LogPackFactory: Content/StarterContent/Props/SM_Couch.uasset (254658) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Couch.uasset
[2015.03.10-02.22.05:960][  0]LogPackFactory: Content/StarterContent/Props/SM_Door.uasset (214917) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Door.uasset
[2015.03.10-02.22.05:961][  0]LogPackFactory: Content/StarterContent/Props/SM_DoorFrame.uasset (65546) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_DoorFrame.uasset
[2015.03.10-02.22.05:962][  0]LogPackFactory: Content/StarterContent/Props/SM_GlassWindow.uasset (97538) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_GlassWindow.uasset
[2015.03.10-02.22.05:962][  0]LogPackFactory: Content/StarterContent/Props/SM_Lamp_Ceiling.uasset (318571) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Lamp_Ceiling.uasset
[2015.03.10-02.22.05:963][  0]LogPackFactory: Content/StarterContent/Props/SM_Lamp_Wall.uasset (140246) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Lamp_Wall.uasset
[2015.03.10-02.22.05:964][  0]LogPackFactory: Content/StarterContent/Props/SM_MatPreviewMesh_02.uasset (2396647) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_MatPreviewMesh_02.uasset
[2015.03.10-02.22.05:965][  0]LogPackFactory: Content/StarterContent/Props/SM_PillarFrame.uasset (127007) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_PillarFrame.uasset
[2015.03.10-02.22.05:966][  0]LogPackFactory: Content/StarterContent/Props/SM_PillarFrame300.uasset (124350) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_PillarFrame300.uasset
[2015.03.10-02.22.05:966][  0]LogPackFactory: Content/StarterContent/Props/SM_Rock.uasset (175516) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Rock.uasset
[2015.03.10-02.22.05:967][  0]LogPackFactory: Content/StarterContent/Props/SM_Shelf.uasset (108862) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Shelf.uasset
[2015.03.10-02.22.05:968][  0]LogPackFactory: Content/StarterContent/Props/SM_Stairs.uasset (66807) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Stairs.uasset
[2015.03.10-02.22.05:968][  0]LogPackFactory: Content/StarterContent/Props/SM_Statue.uasset (537153) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_Statue.uasset
[2015.03.10-02.22.05:969][  0]LogPackFactory: Content/StarterContent/Props/SM_TableRound.uasset (528732) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_TableRound.uasset
[2015.03.10-02.22.05:970][  0]LogPackFactory: Content/StarterContent/Props/SM_WindowFrame.uasset (68758) -> ../../../../../Projects/Besieged/Content/StarterContent/Props/SM_WindowFrame.uasset
[2015.03.10-02.22.05:971][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Cone.uasset (94233) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Cone.uasset
[2015.03.10-02.22.05:971][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Cube.uasset (45498) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Cube.uasset
[2015.03.10-02.22.05:972][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Cylinder.uasset (109276) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Cylinder.uasset
[2015.03.10-02.22.05:973][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_NarrowCapsule.uasset (211325) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_NarrowCapsule.uasset
[2015.03.10-02.22.05:974][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Pipe.uasset (78407) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Pipe.uasset
[2015.03.10-02.22.05:974][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Pipe_180.uasset (193692) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Pipe_180.uasset
[2015.03.10-02.22.05:975][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Pipe_90.uasset (120200) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Pipe_90.uasset
[2015.03.10-02.22.05:976][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Plane.uasset (43121) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Plane.uasset
[2015.03.10-02.22.05:976][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_QuadPyramid.uasset (43744) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_QuadPyramid.uasset
[2015.03.10-02.22.05:977][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Sphere.uasset (264634) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Sphere.uasset
[2015.03.10-02.22.05:978][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Torus.uasset (558042) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Torus.uasset
[2015.03.10-02.22.05:978][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Trim.uasset (51867) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Trim.uasset
[2015.03.10-02.22.05:979][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Trim_90_In.uasset (74804) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Trim_90_In.uasset
[2015.03.10-02.22.05:980][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Trim_90_Out.uasset (75706) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Trim_90_Out.uasset
[2015.03.10-02.22.05:980][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_TriPyramid.uasset (41629) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_TriPyramid.uasset
[2015.03.10-02.22.05:981][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Tube.uasset (190123) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Tube.uasset
[2015.03.10-02.22.05:982][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Wedge_A.uasset (45020) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Wedge_A.uasset
[2015.03.10-02.22.05:982][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_Wedge_B.uasset (40642) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_Wedge_B.uasset
[2015.03.10-02.22.05:983][  0]LogPackFactory: Content/StarterContent/Shapes/Shape_WideCapsule.uasset (150007) -> ../../../../../Projects/Besieged/Content/StarterContent/Shapes/Shape_WideCapsule.uasset
[2015.03.10-02.22.05:984][  0]LogPackFactory: Content/StarterContent/Textures/Metal_Tile_2.uasset (446) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/Metal_Tile_2.uasset
[2015.03.10-02.22.05:984][  0]LogPackFactory: Content/StarterContent/Textures/Metal_Tile_2_N.uasset (450) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/Metal_Tile_2_N.uasset
[2015.03.10-02.22.05:985][  0]LogPackFactory: Content/StarterContent/Textures/Sky54a2048.uasset (446) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/Sky54a2048.uasset
[2015.03.10-02.22.05:986][  0]LogPackFactory: Content/StarterContent/Textures/Sky54a2048LDR.uasset (449) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/Sky54a2048LDR.uasset
[2015.03.10-02.22.05:986][  0]LogPackFactory: Content/StarterContent/Textures/T_ArmorMetal01.uasset (450) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_ArmorMetal01.uasset
[2015.03.10-02.22.05:987][  0]LogPackFactory: Content/StarterContent/Textures/T_ArmorMetal01_N.uasset (452) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_ArmorMetal01_N.uasset
[2015.03.10-02.22.05:988][  0]LogPackFactory: Content/StarterContent/Textures/T_Bark02_D.uasset (446) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Bark02_D.uasset
[2015.03.10-02.22.05:988][  0]LogPackFactory: Content/StarterContent/Textures/T_Bark02_N.uasset (446) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Bark02_N.uasset
[2015.03.10-02.22.05:989][  0]LogPackFactory: Content/StarterContent/Textures/T_Base_Metal_Gray_D.uasset (455) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Base_Metal_Gray_D.uasset
[2015.03.10-02.22.05:989][  0]LogPackFactory: Content/StarterContent/Textures/T_Base_Metal_Gray_N.uasset (455) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Base_Metal_Gray_N.uasset
[2015.03.10-02.22.05:990][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_Beveled_D.uasset (7649619) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_Beveled_D.uasset
[2015.03.10-02.22.05:994][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_Beveled_M.uasset (8326301) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_Beveled_M.uasset
[2015.03.10-02.22.05:998][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_Beveled_N.uasset (7553391) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_Beveled_N.uasset
[2015.03.10-02.22.06:001][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_New_D.uasset (6035708) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_New_D.uasset
[2015.03.10-02.22.06:005][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_New_M.uasset (9201530) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_New_M.uasset
[2015.03.10-02.22.06:009][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_New_N.uasset (7865847) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_New_N.uasset
[2015.03.10-02.22.06:013][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_Old_D.uasset (11424774) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_Old_D.uasset
[2015.03.10-02.22.06:018][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Clay_Old_N.uasset (7794699) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Clay_Old_N.uasset
[2015.03.10-02.22.06:022][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Cut_Stone_D.uasset (13386492) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Cut_Stone_D.uasset
[2015.03.10-02.22.06:028][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Cut_Stone_N.uasset (6679434) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Cut_Stone_N.uasset
[2015.03.10-02.22.06:031][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Hewn_Stone_D.uasset (7446677) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Hewn_Stone_D.uasset
[2015.03.10-02.22.06:035][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Hewn_Stone_M.uasset (6802269) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Hewn_Stone_M.uasset
[2015.03.10-02.22.06:039][  0]LogPackFactory: Content/StarterContent/Textures/T_Brick_Hewn_Stone_N.uasset (8992435) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Brick_Hewn_Stone_N.uasset
[2015.03.10-02.22.06:043][  0]LogPackFactory: Content/StarterContent/Textures/T_Burst_M.uasset (150025) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Burst_M.uasset
[2015.03.10-02.22.06:044][  0]LogPackFactory: Content/StarterContent/Textures/T_Bush_D.uasset (552540) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Bush_D.uasset
[2015.03.10-02.22.06:045][  0]LogPackFactory: Content/StarterContent/Textures/T_Bush_N.uasset (396574) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Bush_N.uasset
[2015.03.10-02.22.06:045][  0]LogPackFactory: Content/StarterContent/Textures/T_Ceramic_Tile_M.uasset (277243) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ceramic_Tile_M.uasset
[2015.03.10-02.22.06:046][  0]LogPackFactory: Content/StarterContent/Textures/T_Ceramic_Tile_N.uasset (228293) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Ceramic_Tile_N.uasset
[2015.03.10-02.22.06:047][  0]LogPackFactory: Content/StarterContent/Textures/T_Chair_M.uasset (576769) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Chair_M.uasset
[2015.03.10-02.22.06:048][  0]LogPackFactory: Content/StarterContent/Textures/T_Chair_N.uasset (1937145) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Chair_N.uasset
[2015.03.10-02.22.06:049][  0]LogPackFactory: Content/StarterContent/Textures/T_Checker_Noise_M.uasset (158406) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Checker_Noise_M.uasset
[2015.03.10-02.22.06:050][  0]LogPackFactory: Content/StarterContent/Textures/T_Cliff_M.uasset (432) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Cliff_M.uasset
[2015.03.10-02.22.06:051][  0]LogPackFactory: Content/StarterContent/Textures/T_Cliff_N.uasset (432) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Cliff_N.uasset
[2015.03.10-02.22.06:051][  0]LogPackFactory: Content/StarterContent/Textures/T_Cobble_01_H.uasset (449) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Cobble_01_H.uasset
[2015.03.10-02.22.06:052][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleDark_01_D.uasset (453) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleDark_01_D.uasset
[2015.03.10-02.22.06:052][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_04_D.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_04_D.uasset
[2015.03.10-02.22.06:053][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_04_N.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_04_N.uasset
[2015.03.10-02.22.06:054][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_04_R.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_04_R.uasset
[2015.03.10-02.22.06:054][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_04b_D.uasset (455) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_04b_D.uasset
[2015.03.10-02.22.06:055][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Pebble_D.uasset (11812314) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Pebble_D.uasset
[2015.03.10-02.22.06:061][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Pebble_M.uasset (1313598) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Pebble_M.uasset
[2015.03.10-02.22.06:062][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Pebble_N.uasset (11858728) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Pebble_N.uasset
[2015.03.10-02.22.06:067][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Rough_D.uasset (2936250) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Rough_D.uasset
[2015.03.10-02.22.06:069][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Rough_N.uasset (2700400) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Rough_N.uasset
[2015.03.10-02.22.06:092][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Smooth_D.uasset (6603341) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Smooth_D.uasset
[2015.03.10-02.22.06:096][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Smooth_M.uasset (5739577) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Smooth_M.uasset
[2015.03.10-02.22.06:099][  0]LogPackFactory: Content/StarterContent/Textures/T_CobbleStone_Smooth_N.uasset (8846507) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_CobbleStone_Smooth_N.uasset
[2015.03.10-02.22.06:103][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete01_D.uasset (450) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete01_D.uasset
[2015.03.10-02.22.06:104][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete01_N.uasset (450) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete01_N.uasset
[2015.03.10-02.22.06:105][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_01_D.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_01_D.uasset
[2015.03.10-02.22.06:105][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_01_N.uasset (451) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_01_N.uasset
[2015.03.10-02.22.06:106][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_D.uasset (448) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_D.uasset
[2015.03.10-02.22.06:107][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Floor01.uasset (454) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Floor01.uasset
[2015.03.10-02.22.06:107][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Floor01_N.uasset (456) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Floor01_N.uasset
[2015.03.10-02.22.06:108][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Grime_D.uasset (10691506) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Grime_D.uasset
[2015.03.10-02.22.06:113][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_N.uasset (448) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_N.uasset
[2015.03.10-02.22.06:114][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Panels_D.uasset (8513286) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Panels_D.uasset
[2015.03.10-02.22.06:118][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Panels_N.uasset (6558914) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Panels_N.uasset
[2015.03.10-02.22.06:121][  0]LogPackFactory: Content/StarterContent/Textures/T_Concrete_Poured_D.uasset (11600993) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Concrete_Poured_D.uasset
